PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,parking,cercanias,bicimad,bus,metro,ACCESIBILIDAD,CONTENT-URL,DIRECCION,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
2115,Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),Edificio de carácter monumental  construido por Jaime López de Asiaín en 1969.,Salas de exposiciones   Martes a sábado; de 9:30 a 19:00 horas Domingos y festivos; de 10 a 15:00 horas  La taquilla finaliza su actividad de venta de entradas 15 minutos antes de la hora del cierre de la exposición.  Noches de verano - Verano en el Museo   Los jueves de julio y agosto; apertura extraordinaria: 9:30 - 22:30 horas  Cerrado: lunes; 1 enero; 1 y 15 mayo; 24; 25 y 31 diciembre,NULL,NULL,NULL,46; 160; 161; U; 82; G; 132; 83; 133; 162,Ciudad Universitaria (línea 6)  ,1.4,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=053c4291ae91f010VgnVCM2000000c205a0aRCRD,AVENIDA JUAN DE HERRERA 2 28040 MADRID,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,438273,4476811,40.439657822278555,-3.7278378564088275,915 504 700,NULL,Museos
2061,Palacio Real de El Pardo,Recinto en el que se conserva el Palacio  construido sobre el castillo del siglo XV  la Casita del Príncipe  del siglo XVIII y la Quinta del Duque de Arco (Palacete que fue Casa de Labor y sus tierras). Desde 1983 ha sido adecuado para residencia de Jefes de Estado extranjeros en visita oficial.,Consultar la  web  o telefónicamente.,NULL,NULL,NULL,601 (Madrid - Colonia Mingorrubio),NULL,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9f9def4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE MANUEL ALONSO 8 28048 MADRID,EL PARDO,FUENCARRAL-EL PARDO,434247,4485823,40.520522342970146,-3.7762390614462853,914 548 700 (Información general),info@patrimonionacional.es,MonumentosEdificiosArtisticos
2062,Palacio Real de Madrid,Construido sobre el solar del antiguo Alcázar tras un incendio en 1734. Proyectado por Juvara en 1735 y construido por Sachet de 1738 a 1764 bajo las influencias del clasicismo barroco. A partir de 1770  Sabatini añadió el ala sudeste y realizó la gran escalera. Es de destacar el gran patio que articula el edificio y la fachada principal que aloja el balcón y Escudo Real.,Lunes a sábado; de 10 a 18 horas. Domingos y festivos; de 10 a 16 horas.  Para cierres durante el año o motivados por la celebración de actos oficiales o festividad en el municipio consultar la web.  Jardines del Campo del Moro   Todos los días; de 10 a 18 horas.,NULL,Príncipe Pío,Estación 36 (Plaza de Ramales 1),3; 25; 39; 148,Ópera (líneas 2; 5 y Ramal Ópera Norte),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=47ddef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE BAILEN 0 28013 MADRID,PALACIO,CENTRO,439540,4474703,40.42075212551193,-3.712699107286406,914 548 700 (Información general),info@patrimonionacional.es,MonumentosEdificiosArtisticos
2079,Panteón de Hombres Ilustres,La construcción de este edificio responde a dos de las constantes de fines de siglo: la arquitectura historicista y la escultura funeraria. En él reposan trece personajes ilustres de la historia política y militar española.,De martes a sábado de 10 a 14 y de 16 a 18:30 horas Domingos y festivos de 10 a 15 horas Cerrado todos los lunes del año,NULL,Atocha,NULL,10; 14; 24; 32; 37; 54; 57; 141; 26; C1; C2; 102  ,Estación del Arte (Atocha) (línea 1)  ,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=361cef4d7f71c010VgnVCM1000000b205a0aRCRD,CALLE JULIAN GAYARRE 3 28014 MADRID,PACIFICO,RETIRO,442012,4473070,40.40622617519116,-3.683413041846525,914 548 700 (Información general),info@patrimonionacional.es,MonumentosEdificiosArtisticos
3362,Parroquia Santa Cruz,NULL,NULL,Plaza Mayor (55) y Jacinto Benavente (15) plaza Jacinto Benavente,Sol (líneas C3;C4 y Regional),Estaciones 32 (plaza de la Provincia 1) 34 (plaza de Jacinto Benavente) 40 (plaza del Conde Romanones 9),50; 26; 32; 6; 65; 18; 23; 17; 002; M1; 31,Sol (líneas 1; 2 y 3) Tirso de Molina (línea 1),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40e0b069a541f010VgnVCM1000000b205a0aRCRD,CALLE ATOCHA 6 28012 MADRID,SOL,CENTRO,440165,4474015,40.414608558946085,-3.705255882048698,913 691 239,santacruz@archimadrid.es,MonumentosEdificiosArtisticos
2213,Planetario de Madrid,Inaugurado el 29 de septiembre de 1986  es un centro dependiente del Área de Cultura  Turismo y Deporte del Ayuntamiento de Madrid. Durante los años 2016/2017 fue sometido a una profunda renovación tanto tecnológica como de las instalaciones y edificio  posible en virtud de un acuerdo de colaboración entre el Ayuntamiento de Madrid y la Obra Social &amp;ldquo;la Caixa&amp;rdquo; &amp;ndash; que incluye dotación de contenidos  renovación de exposiciones y la realización de actividades varias en el campo de la divulgación científica. Siempre con el fin de contribuir a la difusión de la astronomía y de la ciencia en general  tanto entre escolares como entre el público de cualquier edad y condición  posee una variada oferta de proyecciones audiovisuales  exposiciones y actividades (talleres  cursos  conferencias  observaciones públicas...). Las proyecciones que se ofrecen en el Planetario de Madrid se renuevan periódicamente y tienen una duración aproximada de 30 minutos. Existen dos programaciones básicas diferentes: una activa durante el verano y época de vacaciones escolares  y otra durante el curso escolar. Durante el curso escolar  las proyecciones de las mañanas de los días lectivos se reservan a escolares.   Video de presentación del centro   Folleto informativo (PDF)  Planetario en  Google Maps,Horario del centro (curso escolar 2021-22; adaptación a CoviD-19): De martes a domingo; de 10:00 a 13:30 y de 17:00 (*) a 19:30.  Acceso permitido sólo a público con entradas ya adquiridas. Visita pautada.  Cerrado: Todos los lunes del año. Días 1 y 6 de enero; 1 de mayo; 24; 25 y 31 de diciembre. (*) Viernes; de 17:30 a 19:30 h.,NULL,NULL,Estación 177 (Calle Bolívar 3),148; 156,Méndez Álvaro (línea 6),1.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9c5b069a541f010VgnVCM1000000b205a0aRCRD,AVENIDA PLANETARIO 16 28045 MADRID,LEGAZPI,ARGANZUELA,441868,4471523,40.392279999540044,-3.684956957448299,"914 673 461 (reserva grupos)                                                                                                                                                                                                                                                                                                                                                                                                                                               
914 673 898 (contestador automático de información)",buzon@planetmad.es,Planetarios
3359,Real Basílica San Francisco el Grande,Conjunto conventual que sustituyó al monasterio franciscano medieval  construido por Francisco de las Cabezas entre 1761 y 1768  que fue relevado por Antonio Polo y que concluye Francisco Sabatini en 1784 donde se exponen colecciones de pinturas de los siglos XVII al XIX.,Visita Guiada Museo:    De martes a viernes de 10:30 a 12:30 y de 16 a 18 horas.  Julio; agosto y septiembre: de martes a viernes de 10:30 a 12:30 y de 17 a 19 horas.   Sábados de 10:30 a 12:30 y de 16 a 18 horas (entrada libre sin guía).,NULL,NULL,Estación 37 (Plaza San Francisco 5),002; 17; 18; 23; 35; 60,La Latina (línea 5) ; Puerta de Toledo (línea 5),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef8d0713fb71c010VgnVCM1000000b205a0aRCRD,CALLE SAN BUENAVENTURA 1 28005 MADRID,PALACIO,CENTRO,439377,4473603,40.41084005024222,-3.714503845728281,913 653 800,NULL,MonumentosEdificiosArtisticos
2087,Real Fábrica de Tapices,NULL,Visitas guiadas: Lunes a viernes a las 10; 11; 12 y 13 horas en castellano. Duración de la visita 40 minutos. Es obligatorio efectuar una reserva previa mediante el correo electrónico visitasmuseo@realfabricadetapices.com.,NULL,NULL,Estación 79 (avenida de menéndez Pelayo 38),10; 14; 26; 32; C1; C2; 141; 24; 37; 54; 57; 152,Menéndez Pelayo (línea 1),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=53cbff632081c010VgnVCM1000000b205a0aRCRD,CALLE FUENTERRABIA 2 28014 MADRID,PACIFICO,RETIRO,442087,4473054,40.406087329011655,-3.682515969574079,914 340 550,informacion@realfabricadetapices.com,MonumentosEdificiosArtisticos
4707297,Real Monasterio de Santa Isabel,El Real Monasterio de Santa Isabel está situado en Madrid  dentro de la ciudad histórica  en una gran manzana  próxima a Atocha. Santa Isabel agrupa dos fundaciones  un colegio de niñas  establecido por Felipe II  y un convento de clausura de monjas agustinas recoletas  fundado por la esposa de Felipe III  doña Margarita de Austria. La arquitectura de la iglesia se debe a Gómez de Mora  de mediados del siglo XVIII. En la clausura se conservan numerosas obras pictóricas de los siglos XVII y XVIII.,El acceso al templo sólo es posible en horario de culto.,NULL,Atocha,NULL,26; 32; 6; 27; 34; C1  ,Estación del Arte (Atocha) (línea 1)  ,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=545b544a249c6110VgnVCM1000000b205a0aRCRD,CALLE SANTA ISABEL 48 28012 MADRID,EMBAJADORES,CENTRO,440655,4473736,40.41213027498252,-3.6994547941964946,914 548 700 (Información general),info@patrimonionacional.es,MonumentosEdificiosArtisticos
3349,Real Monasterio de la Encarnación,Edificio construído por Juan Gómez de Mora de 1611 a 1616 como monasterio anejo al Alcázar Real  modelo de lo que se ha dado en llamar barroco madrileño. Cuenta con la reliquia de San Pantaleón.,Consultar horarios.,NULL,NULL,Estación 25 a y b (Plaza Celenque 1),3; 25; 39; 148  ,Ópera (líneas 2; 5 y Ramal Ópera Príncipe Pío) Plaza de España (líneas 3; 10)  ,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=72ad0713fb71c010VgnVCM1000000b205a0aRCRD,PLAZA ENCARNACION 1 28013 MADRID,PALACIO,CENTRO,439634,4474582,40.41967800877382,-3.711567962866152,914 548 700 (Información general),info@patrimonionacional.es,MonumentosEdificiosArtisticos
3348,Real Monasterio de las Descalzas Reales,Convento fundado por la Princesa Juana de Austria  transformando un antiguo palacio de su madre Isabel de Portugal.,Consultar la  web  o telefónicamente.,NULL,NULL,Estación 25 a y b (Plaza de Celenque),3; 25; 39; 148,Ópera (líneas 2; 5 y Ramal Ópera-Príncipe Pío),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12e113db5b71c010VgnVCM1000000b205a0aRCRD,PLAZA DESCALZAS 3 28013 MADRID,SOL,CENTRO,440087,4474418,40.418233359889484,-3.706213134639163,914 548 700,info@patrimonionacional.es,MonumentosEdificiosArtisticos
20605,Templo de Debod,Templo egipcio dedicado a Amón de Debod y a Isis  construido entre 185 AC y el siglo I de la Era. Fue donado por Egipto a España en 1968  en agradecimiento por la ayuda en el salvamento de los templos de Abu Simbel.  Egyptian temple dedicated to Amun of Debod and Isis. It was built between 185 BC and the 1st century. It was donated by Egypt to Spain in 1968 for its help in the rescue of the temples of Abu Simbel.El templo de Debod no cuenta en la actualidad con accesos adaptados a personas con movilidad reducida y la circulación en su interior es igualmente difícil. Puedes consultar en el documento Templo de Debod. Turismo accesible  las características de su accesibilidad.  Debod temple has currently no access adapted for people with reduced mobility.    El templo es un monumento histórico de una antig&amp;uuml;edad de 2.200 años. Su estructura interna  que constituye el espacio de actual de exposición  está formada por distintas salas de dimensiones reducidas  con vanos estrechos y numerosas barreras  que responden a los fines y necesidades de los cultos religiosos que en él tuvieron lugar  pero que imposibilitan la circulación con sillas de ruedas convencionales.  La legislación sobre accesibilidad vigente en nuestra Comunidad (Ley 8/1993 de 22 de Junio de Promoción de la Accesibilidad y Supresión de Barreras Arquitectónicas)  en su disposición adicional 7&amp;ordf;  exime de su aplicación en los inmuebles declarados Bien de Interés Cultural o en aquellos edificios de valor histórico-artístico. No obstante  se está trabajando en hacer accesibles las plataformas en las que se levanta el templo y sus dos portales.,Martes a domingo y festivos; de 10 a 19  horas.  Cerrado los lunes y los días 1 y 6 de enero; 1 de mayo; 24; 25 y 31 de diciembre. Último pase de visita 30 minutos antes del cierre. El horario y la apertura de salas pueden sufrir modificaciones. Por favor; confírmelo en el teléfono de información del museo.,dentro del Área de Estacionamiento Regulado de la ciudad de Madrid,Príncipe Pío  ,Estación 115 (calle Evaristo San Miguel s/n,1; 2; 3; 25; 39; 44; 46; 74; 75; 133; 138; 148; C1 y C2 ,Plaza de España (líneas 3 y 10) y Ventura Rodríguez (línea 3) ,0.6,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13b432df1d51c010VgnVCM2000000c205a0aRCRD,CALLE FERRAZ 1 28008 MADRID,CASA DE CAMPO,MONCLOA-ARAVACA,439218,4475093,40.42425096551599,-3.716531855540272,913 667 415 (Museo de San Isidro / Templo de Debod),templodebod@madrid.es,MonumentosEdificiosArtisticos
7685664,The Robot Museum (Museo del Robot),NULL,Viernes:  De 17:15 a 20:15 horas.   Sábados: De 16:15 a 20:15 horas.,NULL,NULL,Estación 142 (paseo de la Castellana 42),19; 51; 9; 14; 150; 27; 45; 5; 1; 74,Ruben Darío (línea 5) Nuñez de Balboa (líneas 5 y 9),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e0b7b8dc8f719410VgnVCM1000000b205a0aRCRD,CALLE SERRANO 61 28006 MADRID,CASTELLANA,SALAMANCA,441732,4475957,40.43221485554042,-3.6869551422270077,914 478 808,NULL,Museos
7071384,Yacimiento paleontológico. Estación de Metro Carpetana,Durante las obras de remodelación de la estación de Carpetana se descubrieron restos paleontológicos con valiosos hallazgos del Mioceno  lo que ha hecho posible una reconstrucción de los paleoambientes en dos yacimientos verticales.,Todos los días durante la apertura de la estación; de 6 a 1:30 horas.,NULL,NULL,NULL,119; 55; 17; 25,Carpetana (línea 6),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=05fbb57fd3c70410VgnVCM1000000b205a0aRCRD,CALLE VIA CARPETANA 141 28047 MADRID,VISTA ALEGRE,CARABANCHEL,437086,4471590,40.39254099575156,-3.7413026173286053,NULL,NULL,Museos
10873287,Zapadores Ciudad del Arte,NULL,Sábados y domingos de 12 a 18 horas.,NULL,NULL,NULL,NULL,NULL,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c30ab3683ea58610VgnVCM2000001f4a900aRCRD,CALLE ANTONIO DE CABEZON 70 28034 MADRID,VALVERDE,FUENCARRAL-EL PARDO,442223,4483003,40.49572804745456,-3.6818117500732046,NULL,NULL,Museos
